연령,직종,학교급,평균,중위값,p25,p75,count
54,교원,초등학교,29387535.0,29304240.0,27333780.0,33287970.0,12
54,교원,특수학교,24357267.777777776,28249650.0,15494160.0,31956550.0,54
54,직원,고등학교,21944212.073170733,23648760.0,16898535.0,28374810.0,82
54,직원,대학교,22904706.913265307,25267560.0,17268682.5,30375210.0,1568
54,직원,법인,23971001.25,23939400.0,18226725.0,30497970.0,16
54,직원,유치원,26159850.0,25634400.0,22693980.0,29100270.0,4
54,직원,전문대학,21610234.895104896,24874800.0,12552445.0,29244240.0,143
54,직원,중학교,23468321.17647059,23116080.0,20044830.0,27050190.0,34
54,직원,초등학교,22461975.0,22424940.0,19384035.0,25502880.0,4
54,직원,특수학교,20813844.0,21515940.0,17048160.0,23204430.0,10
55,교원,고등학교,26756070.21669342,29427360.0,24405900.0,32389150.0,1246
55,교원,대학교,17539887.38317757,16650000.0,8909680.0,26849280.0,107
55,교원,유치원,28384652.307692308,20185200.0,15387000.0,24673800.0,13
55,교원,전문대학,17510343.17647059,14660800.0,6394080.0,29035560.0,85
55,교원,중학교,26212629.90421456,29244340.0,23267460.0,32826915.0,522
55,교원,초등학교,23586243.2,28146360.0,12666840.0,33292680.0,25
55,교원,특수학교,27946052.5,31417960.0,24179190.0,33717590.0,88
55,직원,고등학교,23408233.762376238,24266520.0,18000000.0,28983840.0,101
55,직원,대학교,23396660.67479321,25859400.0,15706200.0,31360320.0,2297
55,직원,법인,26231608.42105263,24558720.0,20895840.0,31906740.0,19
55,직원,유치원,26818680.0,26818680.0,23325420.0,30311940.0,2
55,직원,전문대학,21606238.963963963,24732480.0,13298620.0,29707980.0,222
55,직원,중학교,17358293.870967742,20417340.0,7529177.5,25086300.0,62
55,직원,초등학교,23023160.0,22943460.0,20587020.0,27423450.0,6
55,직원,특수학교,22927634.545454547,22003800.0,18948320.0,29623500.0,11
56,교원,고등학교,28117892.8852459,30620600.0,25846980.0,33627660.0,2135
56,교원,대학교,19279704.444444444,20044875.0,9710070.0,29678430.0,180
56,교원,유치원,14557218.888888888,17110500.0,6446530.0,21761280.0,18
56,교원,전문대학,18042441.18881119,16633740.0,5114175.0,28432120.0,143
56,교원,중학교,27792411.371882085,30637750.0,25374300.0,34399260.0,882
56,교원,초등학교,27341683.636363637,29509190.0,23932380.0,34512240.0,44
56,교원,특수학교,26713912.16783217,31433900.0,20848260.0,34571900.0,143
56,직원,고등학교,23491256.41891892,24670200.0,17999880.0,29629170.0,148
56,직원,대학교,24255523.768812038,26855840.0,16243310.0,32875440.0,3123
56,직원,법인,21734277.1875,23070180.0,12066317.5,29617620.0,32
56,직원,유치원,17246932.0,20327880.0,7195860.0,20590680.0,5
56,직원,전문대학,22017261.202531647,24842900.0,12129920.0,31479000.0,316
56,직원,중학교,22824948.59649123,23581800.0,19284720.0,27875640.0,57
56,직원,초등학교,20054747.14285714,21273000.0,15061425.0,27149040.0,7
56,직원,특수학교,23639108.125,22251300.0,19062632.5,29602530.0,16
57,교원,고등학교,28822988.33475419,31847200.0,26050950.0,35039040.0,3519
57,교원,대학교,19482514.87544484,20196400.0,9854520.0,28910880.0,281
57,교원,유치원,17221649.6,18339720.0,7826040.0,23196240.0,25
57,교원,전문대학,21777220.79497908,22712040.0,10865540.0,33147270.0,239
57,교원,중학교,28872444.85021398,31988690.0,26089590.0,35561940.0,1402
57,교원,초등학교,27802810.333333332,32762900.0,22857810.0,36064980.0,60
57,교원,특수학교,29509951.18918919,32959600.0,27351700.0,37022040.0,185
57,직원,고등학교,23060532.629107982,25047840.0,17717760.0,29745000.0,213
57,직원,대학교,25248713.632684037,27746760.0,17709840.0,34149840.0,3953
57,직원,법인,19746768.5,20361300.0,10209165.0,27554455.0,40
57,직원,유치원,18741074.285714287,20820000.0,11746410.0,24396080.0,7
57,직원,전문대학,23931303.30882353,26078760.0,16799310.0,32922600.0,408
57,직원,중학교,21151546.304347824,22690740.0,15947490.0,27301770.0,92
57,직원,초등학교,22416120.0,21273000.0,18012600.0,28533600.0,7
57,직원,특수학교,18752666.07142857,20438985.0,8007547.5,27160170.0,28
58,교원,고등학교,30419878.38510515,32924600.0,28151340.0,37042380.0,5183
58,교원,대학교,18142747.33463035,16301685.0,6146190.0,29633055.0,514
58,교원,유치원,16230217.407407407,17608440.0,6088375.0,23486590.0,27
58,교원,전문대학,24356849.547738694,26559750.0,13030802.5,35604990.0,398
58,교원,중학교,30876911.176760215,33212300.0,28540620.0,37432740.0,2031
58,교원,초등학교,27753714.352941178,33234360.0,18860520.0,36773640.0,85
58,교원,특수학교,30112487.751004018,33930600.0,25914240.0,38946240.0,249
58,직원,고등학교,23570395.214007784,24942240.0,18000000.0,29950200.0,257
58,직원,대학교,26749991.389830507,29315220.0,19911420.0,35656175.0,4720
58,직원,법인,17998694.137931034,16444260.0,5150165.0,27923835.0,58
58,직원,유치원,17071697.333333332,19085000.0,8300360.0,22442160.0,15
58,직원,전문대학,24129545.626283366,26177030.0,16990140.0,33417180.0,487
58,직원,중학교,22580416.13445378,22696920.0,17380770.0,28650780.0,119
58,직원,초등학교,21820792.0,21171120.0,13252920.0,31829520.0,15
58,직원,특수학교,21062503.2,22429800.0,14509200.0,28715040.0,25
59,교원,고등학교,31650788.749111585,34140500.0,29202360.0,38547180.0,7035
59,교원,대학교,21999918.400576368,22200000.0,10704637.5,33333210.0,694
59,교원,유치원,15293931.944444444,16602000.0,5437542.5,22249500.0,36
59,교원,전문대학,26545245.848739497,28605600.0,15647440.0,37632300.0,595
59,교원,중학교,31786333.031069364,34452630.0,29296477.5,38527560.0,2768
59,교원,초등학교,28463804.537037037,34109010.0,19500765.0,39172230.0,108
59,교원,특수학교,29964056.65562914,34422060.0,22265730.0,39962310.0,302
59,직원,고등학교,22774110.376344085,24211560.0,17404020.0,30213010.0,372
59,직원,대학교,27343985.12593118,29707560.0,20252007.5,36328927.5,5638
59,직원,법인,22149509.09090909,22893240.0,11339450.0,32140140.0,55
59,직원,유치원,12847663.333333334,11630120.0,3496200.0,20589000.0,18
59,직원,전문대학,24029714.515570935,26141640.0,16647480.0,33084210.0,578
59,직원,중학교,22548384.782608695,23152440.0,16896100.0,29526960.0,161
59,직원,초등학교,17151962.962962963,16500000.0,2830940.0,28806600.0,27
